M10244.0	타세력과의 우호 지표입니다.⏎서로 {C:10b}사이가 나쁜 상태{C:32b}로, 언제⏎전쟁이 나도 이상하지 않습니다.⏎⏎관계가 중립인 세력에 계략을 쓰거나⏎교전하면 불화 상태가 됩니다.⏎이민족 등 강력한 세력에게는 곧바로⏎「{C:10b}증정{C:32b}」을 하여 관계를 회복합시다.
M10246.0	강력한 보병 공격을 합니다.⏎적 부대에 사로잡혀 있는 포로를⏎해방하기도 합니다.⏎⏎{C:9b}【발동 방법】{C:32b}⏎　1. 보병계 병법 「{C:10b}분전{C:32b}」을 설정한⏎　　 무장을 부대에 편성⏎　2. 적 부대에 접근⏎⏎{C:9b}【성공 시 효과】{C:32b}⏎　{U:F0CD}보병계 병법의 숙련, 무력 경험⏎　{U:F0CE}적 부대의 병사
M10248.0	「{C:10b}분전{C:32b}」보다 강력한 보병 공격을⏎합니다.⏎적 부대에 사로잡혀 있는 포로를⏎해방하기도 합니다.⏎⏎{C:9b}【발동 방법】{C:32b}⏎　1. 보병계 병법 「{C:10b}분투{C:32b}」를 설정한⏎　　 무장을 부대에 편성⏎　2. 적 부대에 접근⏎⏎{C:9b}【성공 시 효과】{C:32b}⏎　{U:F0CD}보병계 병법의 숙련, 무력 경험⏎　{U:F0CE}적 부대의 병사
M10250.0	{C:10b}병사로 삼을 수 있는 인구{C:32b}입니다.⏎도시 인구가 많아도, 금이 넉넉해도⏎병역인구가 0이면 징병하지 못합니다.⏎⏎병역인구는 계절마다({C:10b}1, 4, 7, 10월{C:32b})⏎{C:10b}민심{C:32b} 값에 따라 늘어납니다. 병사를⏎많이 얻으려면 인구와 마찬가지로⏎민심 값도 높게 유지해야 합니다.
M10252.0	부대나 시설의 병사 수입니다.⏎부대의 전력에 영향을 줍니다.⏎병사가 0이 되면 부대는 괴멸합니다.
M10254.0	무장이 가진 능력입니다.⏎{C:10b}보병계, 기병계, 궁기계, 노병계,⏎공성계, 수군계, 지식계, 모략계,⏎책략계{C:32b}의 9종류가 있습니다.⏎⏎같은 계통 병법의 숙련을 올리면⏎새로운 병법을 익히기도 합니다.
M10256.0	무장의 급료입니다.⏎{C:10b}매 순{C:32b}(상순, 중순, 하순) 부하⏎무장에게 금을 지급합니다.⏎무장의 작위가 높을수록 많은 금을⏎지급합니다. 녹봉을 지급하지 못하면⏎무장의 충성이 떨어집니다.
M10258.0	일반 공격을 하는 병사입니다.⏎병법에 기병계, 노병계를 넣지 않은⏎무장은 모두 보병으로 취급됩니다.
M10260.0	일반적인 공격용 병법입니다.⏎{C:10b}시설에는 발동하지 않아{C:32b} 요격에⏎알맞다고 할 수 있습니다.⏎「{C:10b}분전{C:32b}」, 「{C:10b}분투{C:32b}」, 「{C:10b}분신{C:32b}」의⏎3종류가 있습니다.⏎⏎보병계 병법의 숙련은 「{C:10b}훈련{C:32b}」을⏎실행하거나, 같은 부대의 누군가가⏎보병계 병법을 발동했을 때 오릅니다.
M10262.0	소속 부대가 괴멸하거나, 지키던⏎시설이 파괴되었을 때 사로잡힌⏎무장입니다.⏎⏎포로의 처우는 다음 3가지입니다.⏎①「{C:10b}등용{C:32b}」하여 부하로 삼는다⏎②「{C:10b}처단{C:32b}」하여 죽인다⏎③「{C:10b}추방{C:32b}」하여 해방한다⏎　(원래 세력의 부하로 돌아갑니다)⏎⏎또한 「{C:10b}몰수{C:32b}」로 아이템을 빼앗을⏎수도 있지만, 그러면 「{C:10b}등용{C:32b}」하기⏎어려워집니다.
