M10045.0	부대끼리, 또는 시설과 부대가 {C:10b}직접⏎공격{C:32b}을 하고 있는 상태입니다.⏎간접 공격 중에는 해당하지 않습니다.⏎⏎교전 상태가 되면 시설에는 「{C:10b}군사{C:32b}」⏎「{C:10b}임면{C:32b}」「{C:10b}육성{C:32b}」 등의 명령만⏎내릴 수 있습니다.
M10047.0	네 가지 성격(저돌, 대담, 냉정,⏎신중) 중 하나로, {C:10b}용맹하면서도⏎냉정하게 행동{C:32b}합니다.⏎⏎기본적으로 명령을 지키지만, 때로는⏎{C:10b}공격적인{C:32b} 행동을 하기도 합니다.
M10049.0	위, 오, 촉 같은 나라의 이름입니다.⏎{C:10b}황제{C:32b}가 되면 후보 가운데서 원하는⏎국호를 고를 수 있습니다.
M10051.0	황제 직속 부대입니다.⏎황제가 되거나 황제를 보호하면⏎자동으로 편성됩니다. {C:10b}부대의 색{C:32b}이⏎바뀝니다.⏎⏎공격력 등은 일반 부대와 같습니다.
M10053.0	아군 부대의 {C:10b}사기를 올립니다{C:32b}.⏎⏎{C:9b}【발동 방법】{C:32b}⏎　1. 책략계 병법 「{C:10b}고무{C:32b}」를 설정한⏎　　 무장을 부대에 편성⏎　2. 사기가 80 미만이 되면 발동⏎⏎{C:9b}【성공 시 효과】{C:32b}⏎　{U:F0CD}아군 부대의 사기⏎　{U:F0CD}책략계 병법의 숙련, 지력 경험
M10055.0	병사들이 갈피를 잃어 통솔이 무너진⏎상태입니다. 명령을 내릴 수 없게⏎되거나 공격력이 크게 떨어집니다.⏎⏎{C:9b}【병법 「혼란」】{C:32b}⏎　적 부대, 시설을 혼란시킵니다.⏎{C:9b}【발동 방법】{C:32b}⏎　1. 모략계 병법 「{C:10b}혼란{C:32b}」을 설정한⏎　　 무장을 부대에 편성⏎　2. 적 부대, 시설에 접근⏎{C:9b}【성공 시 효과】{C:32b}⏎　적 부대, 시설이 혼란에 빠진다⏎　{U:F0CD}모략계 병법의 숙련, 지력 경험
M10059.0	「{C:10b}탐색{C:32b}」을 하면 어느 세력에도⏎속하지 않은 무장을 만나기도 합니다.⏎「{C:10b}등용{C:32b}」에 성공하면 부하 무장이⏎되지만, 실패하거나 「{C:10b}중지{C:32b}」하면⏎재야 무장이 됩니다.⏎⏎자세력의 지역이나 빈 도시 권역에⏎있는 재야 무장에게는 몇 번이라도⏎「{C:10b}등용{C:32b}」을 시도할 수 있습니다.
M10061.0	적 부대의 진입을 막는 공작물입니다.⏎내구는 낮지만 금방 「{C:10b}건설{C:32b}」할 수⏎있습니다.⏎적 부대의 {C:10b}발을 묶기에 최적{C:32b}입니다.
M10063.0	{C:10b}무장이 세력에 소속되는 것{C:32b}을⏎말합니다. 「{C:10b}등용{C:32b}」을 하면 포로⏎무장이나 재야 무장이 세력에 들어와⏎부하 무장이 됩니다.⏎현역 무장의 자식은 {C:10b}15세{C:32b}가 되면⏎스스로 찾아와 사관을 청합니다.⏎⏎정보란의 「{C:10b}사관{C:32b}」에는 무장이⏎세력을 섬겨 온 햇수가 표시됩니다.
M10065.0	병사들의 의욕입니다.⏎징병한 병사의 사기는 신망에 따라⏎정해지며, 「{C:10b}훈련{C:32b}」으로 올릴 수⏎있습니다.⏎⏎사기는 {C:10b}공격력에 영향{C:32b}을 주며,⏎높을수록 공격력도 높아집니다.⏎출진 중에는 매일 사기가 줄어듭니다.⏎(지리적 이점 범위 안은 제외)⏎⏎사기가 0이 되면 부대는 괴멸하고,⏎시설의 경우에는 병사가 흩어집니다.
M10067.0	출진 시 정하는 방침 중 하나입니다.⏎무장이나 부대가 {C:10b}명령을 완수한 뒤{C:32b}나⏎{C:10b}명령 목표가 사라졌을 때{C:32b} 취하는⏎행동입니다.⏎⏎「{C:10b}공격{C:32b}」과 「{C:10b}퇴각{C:32b}」이 있습니다.⏎「{C:10b}공격{C:32b}」이면 상황에 따라 새로운⏎공격 목표로 향합니다.⏎「{C:10b}퇴각{C:32b}」이면 출진한 곳으로⏎귀환합니다. 단, 대장의 성격에 따라⏎이대로 행동하지 않을 수도 있습니다.
M10069.0	외교 때 타세력에 보내는 무장입니다.⏎{C:10b}정치{C:32b}가 높으면 외교 교섭의 성공률이⏎올라갑니다.
M10071.0	무장, 병사가 주둔하는 공작물입니다.⏎이 안에서는 10일마다 부상병이⏎회복됩니다. 회복 비율은 시설마다⏎다릅니다.⏎⏎시설에는 다음과 같은 것이 있습니다.⏎{C:10b}도시, 항, 관{C:32b}(건설・철거 불가)⏎{C:10b}진, 요새, 망루, 성채{C:32b}⏎(건설・철거 가능)
M10073.0	위임방침 중 하나입니다.⏎도독은 방침에 따라 표적시설을⏎공격하거나 계략으로 파괴합니다.
M10077.0	무장은 {C:10b}수명이 다하거나{C:32b} 포로가 되어⏎「{C:10b}처단{C:32b}」되면 사망합니다.⏎또한 전투 중에 사망(전사)하기도⏎합니다.⏎사망하면 게임에 더 이상 등장하지⏎않습니다.⏎⏎수명은 무장마다 다릅니다.⏎가상 모드에서는 무작위로⏎정해집니다.
