M06370.0	우리 부대는 {V:3DAC}까지⏎진군한다!⏎모두 일사불란하게 나아가라!
M06370.1	지금부터 우리 부대는⏎{V:3DAC} 방면으로 향한다!⏎뒷일은 맡기겠다!
M06370.2	우리 부대의 진군 목표는⏎바로 {V:3DAC}!⏎뒤처지지 마라!
M06371.0	그럼 {V:3DAC} 방면으로⏎진군하겠네
M06371.1	알겠네⏎지금부터 밤낮없이⏎{V:3DAC} 방면으로 가겠네
M06371.2	이 {V:01DA}, 내가⏎직접 나서는 이상⏎{V:3DAC} 쪽은 걱정할 것 없네
M06372.0	그럼 {V:3DAC} 방면으로⏎진군하겠습니다
M06372.1	알겠습니다⏎지금부터 밤낮없이⏎{V:3DAC} 방면으로 가겠습니다
M06372.2	이 {V:01DA}, 제가⏎직접 나서는 이상⏎{V:3DAC} 쪽은 걱정 마십시오
M06373.0	좋아!⏎{V:3DAC} 쪽으로 가 볼까!
M06373.1	이번 출진엔 적이 없단 말이지⏎뭐, 가만히 있는 것보다는⏎낫긴 하지만 말이야
M06373.2	이 {V:01DA} 님이⏎직접 나서는 이상⏎{V:3DAC} 쪽은 걱정 말라고!
M06374.0	금과 병량을 거래했습니다⏎금　: {V:65} (+{V:66})⏎병량: {V:67} (-{V:68})
M06375.0	금과 병량을 거래했습니다⏎금　: {V:65} (-{V:66})⏎병량: {V:67} (+{V:68})
M06377.0	이번에는 내가 직접⏎설득에 나서야⏎하겠지요
M06377.1	어떻게든 설득해야 해요⏎이번에는 직접 나서지요
M06378.0	맡겨 주세요⏎반드시 설득해 보이겠어요
M06378.1	제가 맡겠어요⏎좋은 소식을 기다려 주세요
M06379.0	이번에는 내가 직접⏎설득에 나서야겠군
M06380.0	맡겨 주게⏎반드시 설득해 보이겠네
M06380.1	내가 맡겠네⏎좋은 소식을 기다리고 있게
M06381.0	맡겨 주십시오⏎반드시 설득하고⏎오겠습니다
M06381.1	알겠습니다⏎좋은 소식을 기다려 주십시오
M06383.0	나도 꽤 얕보였군요⏎항복 따윈 있을 수 없어요
M06383.2	그만두세요⏎아무리 설득해도⏎결코 꺾이지 않아요
M06387.0	설마 {V:1543}의 주인 자리를⏎내주게 될 줄이야……⏎원통해요
M06387.1	{V:1543}만큼은⏎이 {V:01DA}, 나 말고는⏎제대로 다루지 못할 거예요
M06387.2	이 {V:01DA}, 내가⏎이런 치욕을⏎당하게 될 줄이야……
M06388.2	이 {V:01DA}, 내가⏎이런 치욕을⏎당하게 될 줄이야……
M06388.0	설마 {V:1543}의 주인 자리를⏎내주게 될 줄이야……⏎원통하다
M06388.1	{V:1543}만큼은⏎이 {V:01DA}, 나 말고는⏎제대로 다루지 못할 것이다
M06389.0	설마 {V:1543}의 주인 자리를⏎내주게 될 줄이야……⏎원통합니다
M06389.1	{V:1543}만큼은⏎이 {V:01DA}, 저 말고는⏎제대로 다루지 못할 겁니다
M06389.2	이 {V:01DA}, 제가⏎이런 치욕을 당하게 될 줄은⏎몰랐습니다
M06391.0	지금부터 서둘러⏎{V:3DAC}에 병력을 보냅니다⏎뒷일은 맡길게요!
M06391.1	소중한 정예병이에요⏎이번엔 내가 직접 이끌고⏎{V:3DAB} 방면으로 향하지요
M06391.2	{V:3DAC}에 보낼⏎증원이 시급해요⏎뒤처지지 말고 따라오세요!
M06392.0	{V:3DAC}에서⏎증원을 기다리고 있겠군요⏎서둘러 출발하겠어요
M06392.1	적병에게 들키지 않도록⏎세심한 주의를 기울여⏎{V:3DAC} 방면으로 향하지요
M06392.2	알겠어요⏎곧바로 병사를 편성해⏎{V:3DAC}까지 달려가지요
M06393.0	지금부터 서둘러⏎{V:3DAC}에 병력을 보낸다⏎뒷일은 맡기겠다!
M06393.1	소중한 정예병이다⏎이번엔 내가 직접 이끌고⏎{V:3DAC} 방면으로 향하자
M06393.2	{V:3DAC}에 보낼⏎증원이 시급하다⏎뒤처지지 말고 따라오너라!
M06394.0	{V:3DAC}에서⏎증원을 기다리고 있네⏎서둘러 출발하겠네
M06394.1	적병에게 들키지 않도록⏎세심한 주의를 기울여⏎{V:3DAC} 방면으로 가겠네
M06394.2	알겠네⏎곧바로 병사를 편성해⏎{V:3DAC}까지 달려가겠네
M06395.0	{V:3DAC}에서도⏎증원을 기다리고 있을 겁니다⏎서둘러 출발하겠습니다
M06395.1	적병에게 들키지 않도록⏎세심한 주의를 기울여⏎{V:3DAC} 방면으로 가겠습니다
M06395.2	알겠습니다⏎곧바로 병사를 편성해⏎{V:3DAC}까지 달려가겠습니다
M06396.0	{V:3DAC}에서⏎증원을 기다리고 있다⏎한시바삐 출발하자!
M06396.1	알았다⏎{V:3DAC} 쪽으로 가자
M06396.2	좋아, 당장 {V:3DAC}까지⏎달려가자
