# 용어집: 원문<TAB>번역<TAB>적용범위(ELF|MSG|ALL)<TAB>비고
# 실행파일 문자열·메시지 항목 가운데 원문과 '완전히 같은' 것을 모두 바꾼다 (고유명사 블록 제외).
# --- 시스템 공통
決定	결정	ALL
ヘルプ	도움말	ALL
用語辞典	용어사전	ALL
用語辞典へ	용어사전	ALL	버튼 (원문 5자 칸)
閉じる	닫기	ALL
はい	예	ALL
いいえ	아니요	ALL	표준어: 대답말은 「아니요」
ロード	로드	ALL	%s를 조사에 맞게 받침 없는 말
セーブ	세이브	ALL
即決	즉결	ALL	△버튼 안내
次へ	다음	ALL
全解除	해제	ALL	슬롯 8바이트(3자 이하)
選択数	선택수	ALL
一覧	목록	ALL
頁送り	넘기기	ALL
初期化	초기화	ALL
画面調整	화면조정	ALL
施設	시설	ALL
年	년	ELF	날짜 조립
月	월	ELF	날짜 조립
上旬	상순	ALL
中旬	중순	ALL
下旬	하순	ALL
軍	군	ELF	세력명 뒤 (袁術軍)
軍師	군사	ALL
進行	진행	ELF
# --- 초기 화면·메뉴
初期メニュー	초기 메뉴	ALL
シナリオ	시나리오	ALL
シナリオ選択	시나리오선택	ALL
登録武将	등록무장	ALL
登録アイテム	등록 아이템	ALL
通常	일반	ELF
勢力選択	세력선택	ALL
新勢力作成	신세력작성	ALL
武将配置	무장배치	ALL
配置取消	배치취소	ALL
登場武将	등장무장	ALL
新武将登録	신무장등록	ALL
チュートリアル	튜토리얼	ALL
チャレンジ	챌린지	ALL
開始前確認	최종 확인	ALL
環境設定	환경설정	ALL
エキスパート設定	고급 설정	ALL
担当君主	담당군주	ALL
登録武将ロード	등록무장 로드	ALL
武将編集ロード	무장편집 로드	ALL
武将選択	무장선택	ALL
編集	편집	ALL
# --- 환경설정
難易度	난이도	ALL
モード	모드	ALL
初級	초급	ALL
上級	상급	ALL
史実	사실	ALL
仮想	가상	ALL
登場	등장	ALL
未登場	미등장	ALL
武将編集の反映	무장편집 반영	ALL
メッセージ表示	메시지 표시	ALL
短い	짧게	ALL
普通	보통	ALL
一時停止	일시정지	ALL
兵法画面	병법화면	ALL
振動機能	진동기능	ALL
サウンド設定	사운드 설정	ALL
# --- 고급 설정
敵戦力の設定	적 전력 설정	ALL
金	금	ELF	성씨 金(김)과 겹치므로 메시지는 항목별로
兵士	병사	ALL
兵糧	병량	ALL
士気	사기	ALL
内政	내정	ALL
強さ	공격	ALL	도움말: 컴퓨터 공격력
兵士の抜擢	병사 발탁	ALL
勢力の統合	세력 통합	ALL
部隊の命令	부대 명령	ALL
部隊の兵法	부대 병법	ALL
武将の討死	무장 전사	ALL
あり	있음	ELF
なし	없음	ELF	메시지의 なし 는 빈 지명 자리
表示	표시	ALL
非表示	숨김	ALL
# --- 무장 편집·능력
歩兵	보병	ALL
騎兵	기병	ALL
武将	무장	ALL
統率	통솔	ALL
武力	무력	ALL
知力	지력	ALL
政治	정치	ALL
性格	성격	ALL
性別	성별	ALL
歩兵熟練	보병숙련	ALL
騎兵熟練	기병숙련	ALL
奮戦	분전	ALL
奮闘	분투	ALL
奮迅	분신	ALL
突破	돌파	ALL
突進	돌진	ALL
突撃	돌격	ALL
猪突	저돌	ALL
剛胆	대담	ALL
冷静	냉정	ALL
慎重	신중	ALL
男	남	ALL
女	여	ALL
# --- 세력·도시 정보
勢力	세력	ALL
官爵	관작	ALL
信望	신망	ALL
都市	도시	ALL
現役	현역	ALL
人口	인구	ALL
大将	대장	ALL
民心	민심	ALL
収益	수익	ALL
収穫	수확	ALL
耐久	내구	ALL
最大収益	최대수익	ALL
最大収穫	최대수확	ALL
最大耐久	최대내구	ALL
# --- 관작
皇帝	황제	ALL
王	왕	ALL
公	공	ALL
大司馬	대사마	ALL
大将軍	대장군	ALL
中郎将	중랑장	ALL
州刺史	주자사	ALL
州牧	주목	ALL
